job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salario_min,salario_max,salario_avg,estado,pais,tem_python,tem_sql,tem_r,tem_machine_learning,tem_aws,tem_spark,tem_deep_learning,tem_scikit_learning,tem_tensorflow,tem_pytorch,tem_azure,tem_gcp,tem_tableau,tem_pandas,tem_git,tem_java,tem_powerbi,salario_predito
Cientista de Dados,Líder,Não Informado,company_244,"Bengaluru, Karnataka, India",7 days ago,"New York, NY, US",Finanças,Pública,"290,770",€350.37B,"€27,553 - €43,657","['machine learning', 'python']",27553.0,43657.0,35605.0,,IN,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35534.33203925606
Cientista de Dados,Sênior,Não Informado,company_917,"Zurich, Zurich, Switzerland",5 days ago,"Mountain View, CA, US",Tecnologia,Pública,"258,810",€1.44T,"€148,524 - €185,955",[],148524.0,185955.0,167239.5,,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85015.09746022882
Cientista de Dados,Líder,Presencial,company_041,"South San Francisco, CA",16 days ago,"BS, CH",Saúde,Pública,"93,570",€246.93B,"€159,837","['pytorch', 'aws', 'machine learning', 'gcp', 'azure', 'tensorflow']",159837.0,159837.0,159837.0,CA,US,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,228885.2975277778
Cientista de Dados,Pleno,Remoto,company_421,"San Salvador, San Salvador, El Salvador . Fully Remote",14 days ago,"Cheyenne, WY, US",Tecnologia,,Private,,"€25,213","['sql', 'machine learning', 'python']",25213.0,25213.0,25213.0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24983.929522505277
Cientista de Dados,Líder,Não Informado,company_366,"Columbia, MD",a month ago,"Columbia, MD, US",Tecnologia,Privada,180,Private,"€100,474 - €146,140","['pytorch', 'spark', 'aws', 'r', 'python', 'scikit-learn', 'scala', 'sql', 'machine learning', 'gcp', 'azure', 'tensorflow']",100474.0,146140.0,123307.0,MD,US,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,122189.49012265587
Cientista de Dados,Sênior,Presencial,company_937,"Atlanta, GA",2 months ago,"Atlanta, GA, US",Varejo,Pública,"500,010",Public,"€116,908","['sql', 'tableau', 'python']",116908.0,116908.0,116908.0,GA,US,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137257.1510733741
Cientista de Dados,Sênior,Híbrido,company_848,"Cambridge, MA . Hybrid",14 days ago,"Basel, BS, CH",Saúde,Pública,"107,730",€161.15B,"€120,837 - €224,408","['r', 'python']",120837.0,224408.0,172622.5,MA,US,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134772.1609682126
Cientista de Dados,Sênior,Híbrido,company_980,"Brooklyn Park, MN . Hybrid",21 days ago,"Minneapolis, MN, US",Varejo,Pública,"409,060",€66.99B,"€86,769 - €156,182","['python', 'scala', 'sql', 'machine learning', 'hadoop', 'deep learning']",86769.0,156182.0,121475.5,MN,US,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,125499.78124546168
Cientista de Dados,Não Informado,Híbrido,company_851,"Chennai, Tamil Nadu, India . Hybrid",2 months ago,"Edison, NJ, US",Tecnologia,Privada,"3,520",Private,"€34,569",[],34569.0,34569.0,34569.0,,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33791.881286359654
Cientista de Dados,Sênior,Presencial,company_003,"Bentonville, AR",16 days ago,"Bentonville, AR, US",Varejo,Pública,€352.44B,Public,"€98,645 - €197,284","['spark', 'r', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']",98645.0,197284.0,147964.5,AR,US,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,146978.71091848263
Cientista de Dados,Sênior,Presencial,company_985,"Málaga, Andalusia, Spain",7 days ago,"Chicago, IL, US",Finanças,Privada,"312,060",Private,"€28,046","['pandas', 'numpy', 'python', 'machine learning', 'azure']",28046.0,28046.0,28046.0,,ES,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,37807.81611369541
Cientista de Dados,Sênior,Híbrido,company_994,"Malvern, PA . Hybrid",4 days ago,"Malvern, PA, US",Finanças,Privada,"20,600",Private,"€115,087 - €127,874",['machine learning'],115087.0,127874.0,121480.5,PA,US,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127605.32077009708
Engenheiro de Machine Learning,Líder,Presencial,company_244,"New York, NY . On-site",a month ago,"New York, NY, US",Finanças,Pública,"290,740",€350.12B,"€164,408","['pandas', 'numpy', 'pytorch', 'scikit-learn', 'machine learning', 'deep learning', 'tensorflow']",164408.0,164408.0,164408.0,NY,US,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,178768.05085698995
Engenheiro de Machine Learning,Júnior,Presencial,company_881,"San Jose, CA",8 months ago,CN,Tecnologia,Privada,"110,010",€128.22B,"€132,436 - €228,335","['pytorch', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']",132436.0,228335.0,180385.5,CA,US,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,174584.5139485769
Cientista de Dados,Sênior,Presencial,company_917,"Sunnyvale, CA",14 days ago,"Mountain View, CA, US",Tecnologia,Pública,"258,790",€1.44T,"€207,334 - €292,273","['sql', 'r', 'python']",207334.0,292273.0,249803.5,CA,US,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202539.2200159033
Cientista de Dados,Sênior,Presencial,company_392,"Massachusetts, United States . Massachusetts, Amerika Syarikat",a month ago,"Jacksonville, FL, US",Finanças,Pública,"62,030",€35.07B,"€157,012 - €263,789","['spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure']",157012.0,263789.0,210400.5,UN,US,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,148898.44741615865
Cientista de Dados,Sênior,Híbrido,company_872,"Alpharetta, GA . Hybrid",7 days ago,"Atlanta, GA, US",Finanças,Pública,"11,060",€18.63B,"€94,080",['machine learning'],94080.0,94080.0,94080.0,GA,US,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120386.70238730777
Engenheiro de Machine Learning,Pleno,Não Informado,company_941,"Bengaluru, Karnataka, India",14 days ago,"Dublin, IE",Tecnologia,Pública,"492,205",€153.25B,"€10,529 - €26,190","['pytorch', 'aws', 'python', 'docker', 'machine learning', 'azure', 'tensorflow']",10529.0,26190.0,18359.5,,IN,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,18957.697498148955
Cientista de Dados,Sênior,Híbrido,company_922,"Hartford, CT . Chicago, IL . Columbus, OH . Charlotte, NC . Columbus, Ohio, United States + 1 More . Hybrid",2 months ago,"Hartford, CT, US",Finanças,Pública,"18,170",€21.70B,"€101,126 - €151,688","['pandas', 'git', 'python', 'sql', 'matplotlib']",101126.0,151688.0,126407.0,CT,US,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,137226.92970389794
Engenheiro de Machine Learning,Sênior,Presencial,company_931,"Seattle, WA",14 days ago,"Seattle, WA, US",Tecnologia,Pública,"26,050",Public,"€252,999","['scala', 'machine learning', 'python']",252999.0,252999.0,252999.0,WA,US,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,230671.3565931134
Cientista de Dados,Sênior,Remoto,company_832,"California, United States",8 days ago,"Renton, WA, US",Saúde,,"120,050",Nonprofit,"€159,841","['r', 'python', 'scala', 'sql', 'machine learning', 'database', 'azure', 'tableau']",159841.0,159841.0,159841.0,UN,US,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,123540.60924204068
