job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills
Cientista de Dados,Sênior,Presencial,company_141,"Orlando, FL",a month ago,"Bethesda, MD, US",Tecnologia,Pública,"108,650",€116.88B,"€68,500",['machine learning']
Cientista de Dados,Sênior,Remoto,company_293,"Bengaluru, Karnataka, India",3 months ago,"Bengaluru, KA, IN",Tecnologia,Privada,"15,440",€10.22B,"€36,104","['spark', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow']"
Cientista de Dados,Sênior,Híbrido,company_295,"Montreal, Quebec, Canada . Hybrid",5 days ago,"Dartmouth, NS, CA",Tecnologia,Privada,31,Private,"€55,906","['pandas', 'numpy', 'pytorch', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning']"
Cientista de Dados,Pleno,Híbrido,company_296,"Lebanon, NH . Hybrid",17 days ago,"Bridgewater, NJ, US",Saúde,Pública,613,Public,"€81,293 - €108,937","['machine learning', 'python']"
Cientista de Dados,Pleno,Presencial,company_166,"Veldhoven, North Brabant, Netherlands . On-site",8 days ago,"Veldhoven, NB, NL",Tecnologia,Pública,"24,820",€173.56B,"€82,373",['python']
Cientista de Dados,Sênior,Remoto,company_298,United States,15 days ago,"Draper, UT, US",Saúde,Pública,"1,020",Public,"€88,140 - €136,089","['sql', 'azure', 'r', 'python']"
Cientista de Dados,Sênior,,company_303,"New York, NY",22 days ago,"Irving, TX, US",Tecnologia,Pública,"11,060",Public,"€114,175 - €118,741","['aws', 'git', 'python', 'sql', 'gcp', 'machine learning']"
Cientista de Dados,Sênior,Presencial,company_034,"Annapolis Junction, MD",a month ago,"Baltimore, MD, US",Tecnologia,Privada,45,Private,"€178,100 - €210,980","['sql', 'machine learning', 'r', 'python']"
Cientista de Dados,Sênior,,company_305,"Budapest, Budapest, Hungary",a month ago,"New York, NY, US",Finanças,Pública,"88,990",€132.46B,"€27,403","['machine learning', 'python']"
Cientista de Dados,Pleno,Remoto,company_306,"Fort Meade, MD . Fort Meade, Maryland, Birleşik Devletler . Fully Remote",3 months ago,"Fulton, MD, US",Tecnologia,Privada,90,Private,"€127,871 - €178,103","['sql', 'machine learning', 'r', 'python']"
Cientista de Dados,Sênior,Presencial,company_308,"Mountain View, CA",15 days ago,"Redmond, WA, US",Tecnologia,Pública,"182,338",€1.73T,"€171,712 - €277,840","['sql', 'python']"
Cientista de Dados,Sênior,,company_309,"Bengaluru, Karnataka, India",19 days ago,"New York, NY, US",Tecnologia,Privada,"3,540",Private,"€19,234","['pytorch', 'aws', 'git', 'python', 'docker', 'gcp', 'azure', 'tensorflow']"
Cientista de Dados,Líder,Presencial,company_310,Antwerp Metropolitan Area,2 days ago,"Arlington, VA, US",Tecnologia,Pública,"20,070",Public,"€90,697","['powerbi', 'tableau']"
Engenheiro de Machine Learning,,Presencial,company_312,"San Francisco, CA . Seattle, WA . New York, NY . On-site",13 days ago,"Montreal, QC, CA",Tecnologia,Privada,31,Private,"€200,939 - €296,838",[]
Cientista de Dados,Sênior,Presencial,company_315,United States,9 days ago,"Austin, TX, US",Tecnologia,Pública,"212,610",€188.01B,"€99,744 - €204,046","['pytorch', 'aws', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'tensorflow']"
Cientista de Dados,Sênior,Presencial,company_316,"Dublin, County Dublin, Ireland",22 days ago,"Eden Prairie, MN, US",Saúde,Pública,"37,990",Public,"€52,987","['sql', 'azure', 'python']"
Cientista de Dados,Líder,,company_251,"Alpharetta, GA",15 days ago,"Roseland, NJ, US",Tecnologia,Pública,"65,120",Public,"€115,086","['spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'hadoop', 'azure', 'tensorflow', 'tableau']"
Cientista de Dados,Sênior,Remoto,company_318,United States,a month ago,"Dallas, TX, US",Tecnologia,Pública,"55,070",€14.86B,"€100,467",['machine learning']
Engenheiro de Machine Learning,Sênior,Híbrido,company_008,"San Jose, CA . Hybrid",15 days ago,"San Jose, CA, US",Tecnologia,Pública,"34,690",€81.56B,"€125,584 - €216,003","['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'java', 'sql', 'machine learning', 'tensorflow']"
Cientista de Dados,Sênior,Presencial,company_324,United States . On-site,8 days ago,"Palo Alto, CA, US",Tecnologia,Privada,"2,540",€3.95B,"€137,003 - €150,703","['sql', 'machine learning', 'r', 'python']"
Engenheiro de Machine Learning,Sênior,,company_326,,2 years ago,"Mumbai, MH, IN",Tecnologia,Privada,910,€7.41B,"€44,207",[]
Cientista de Dados,Sênior,Remoto,company_328,"Riverwoods, IL",10 days ago,"Riverwoods, IL, US",Tecnologia,Pública,"14,460",€26.53B,"€118,733 - €166,226","['sql', 'tableau']"
Cientista de Dados,Líder,Presencial,company_336,"South San Francisco, CA",6 days ago,"South San Francisco, CA, US",Tecnologia,Privada,"14,040",Private,"€195,911",['machine learning']
Cientista de Dados,Pleno,Remoto,company_337,"Tallahassee, FL . Arlington, VA . Fully Remote",25 days ago,"Fairfax, VA, US",Finanças,Pública,"7,290",Public,"€131,219 - €223,067","['r', 'python', 'sql', 'machine learning', 'database', 'deep learning']"
Cientista de Dados,Sênior,Remoto,company_339,Fully Remote,a month ago,"Chicago, IL, US",Tecnologia,Privada,960,€3.04B,"€164,405 - €226,054",[]
Cientista de Dados,Sênior,Híbrido,company_340,"San Jose, CA . Hybrid",2 months ago,"New York, NY, US",Tecnologia,Privada,750,Private,"€112,800 - €194,405","['sql', 'machine learning', 'r', 'python']"
Cientista de Dados,,Presencial,company_341,On-site,13 days ago,"San Francisco, CA, US",Tecnologia,Privada,600,€13.85B,"€127,868 - €143,851",[]
